seed_url,final_url,status,category,priority,title,words,chunks,raw_html,parsed_txt,chunks_jsonl,error,ingested_at
https://www.rhs.org.uk/plants/types/houseplants/how-to-help-a-poorly-houseplant,https://www.rhs.org.uk/plants/types/houseplants/how-to-help-a-poorly-houseplant,200,care_diagnosis,A,How to Help a Poorly Houseplant | RHS Advice,1779,10,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/raw_html/www_rhs_org_uk__plants_types_houseplants_how-to-help-a-poorly-houseplant.html,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/parsed_txt/www_rhs_org_uk__plants_types_houseplants_how-to-help-a-poorly-houseplant.txt,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/chunks_jsonl/www_rhs_org_uk__plants_types_houseplants_how-to-help-a-poorly-houseplant.jsonl,,2026-02-24
https://www.rhs.org.uk/prevention-protection/leaf-damage-on-houseplants,https://www.rhs.org.uk/prevention-protection/leaf-damage-on-houseplants,200,symptom_diagnosis,A,Leaf damage on houseplants | RHS Advice,1828,11,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/raw_html/www_rhs_org_uk__prevention-protection_leaf-damage-on-houseplants.html,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/parsed_txt/www_rhs_org_uk__prevention-protection_leaf-damage-on-houseplants.txt,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/chunks_jsonl/www_rhs_org_uk__prevention-protection_leaf-damage-on-houseplants.jsonl,,2026-02-24
https://www.rhs.org.uk/biodiversity/indoor-plants-sap-feeding-insects,https://www.rhs.org.uk/biodiversity/indoor-plants-sap-feeding-insects,200,pests,A,Indoor plants sap feeders: Identify | RHS Advice,2770,17,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/raw_html/www_rhs_org_uk__biodiversity_indoor-plants-sap-feeding-insects.html,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/parsed_txt/www_rhs_org_uk__biodiversity_indoor-plants-sap-feeding-insects.txt,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/chunks_jsonl/www_rhs_org_uk__biodiversity_indoor-plants-sap-feeding-insects.jsonl,,2026-02-24
https://www.rhs.org.uk/problems/oedema,https://www.rhs.org.uk/problems/oedema,200,physiology_disorders,A,Oedema in Plants | RHS Advice,537,3,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/raw_html/www_rhs_org_uk__problems_oedema.html,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/parsed_txt/www_rhs_org_uk__problems_oedema.txt,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/chunks_jsonl/www_rhs_org_uk__problems_oedema.jsonl,,2026-02-24
https://www.rhs.org.uk/prevention-protection/preventing-pest-and-disease-problems,https://www.rhs.org.uk/prevention-protection/preventing-pest-and-disease-problems,200,prevention,B,Preventing pest and disease problems | RHS Advice,1931,11,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/raw_html/www_rhs_org_uk__prevention-protection_preventing-pest-and-disease-problems.html,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/parsed_txt/www_rhs_org_uk__prevention-protection_preventing-pest-and-disease-problems.txt,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/chunks_jsonl/www_rhs_org_uk__prevention-protection_preventing-pest-and-disease-problems.jsonl,,2026-02-24
https://extension.colostate.edu/resource/managing-houseplant-pests/,https://extension.colostate.edu/resource/managing-houseplant-pests/,200,pests,A,Managing Houseplant Pests | Colorado State University Extension,4695,29,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/raw_html/extension_colostate_edu__resource_managing-houseplant-pests.html,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/parsed_txt/extension_colostate_edu__resource_managing-houseplant-pests.txt,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/chunks_jsonl/extension_colostate_edu__resource_managing-houseplant-pests.jsonl,,2026-02-24
https://extension.colostate.edu/resource/fungus-gnats-as-houseplant-and-indoor-pests/,https://extension.colostate.edu/resource/fungus-gnats-as-houseplant-and-indoor-pests/,200,pests,A,Fungus Gnats as Houseplant and Indoor Pests | Colorado State University Extension,1385,9,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/raw_html/extension_colostate_edu__resource_fungus-gnats-as-houseplant-and-indoor-pests.html,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/parsed_txt/extension_colostate_edu__resource_fungus-gnats-as-houseplant-and-indoor-pests.txt,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/chunks_jsonl/extension_colostate_edu__resource_fungus-gnats-as-houseplant-and-indoor-pests.jsonl,,2026-02-24
https://ipm.ucanr.edu/home-and-landscape/houseplant-problems/,https://ipm.ucanr.edu/home-and-landscape/houseplant-problems/,200,symptom_diagnosis,A,Houseplant Problems / Home and Landscape / UC Statewide IPM Program (UC IPM),4808,32,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/raw_html/ipm_ucanr_edu__home-and-landscape_houseplant-problems.html,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/parsed_txt/ipm_ucanr_edu__home-and-landscape_houseplant-problems.txt,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/chunks_jsonl/ipm_ucanr_edu__home-and-landscape_houseplant-problems.jsonl,,2026-02-24
https://ipm.ucanr.edu/home-and-landscape/aphids/,https://ipm.ucanr.edu/home-and-landscape/aphids/,200,pests,A,Aphids / Home and Landscape / UC Statewide IPM Program (UC IPM),3856,25,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/raw_html/ipm_ucanr_edu__home-and-landscape_aphids.html,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/parsed_txt/ipm_ucanr_edu__home-and-landscape_aphids.txt,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/chunks_jsonl/ipm_ucanr_edu__home-and-landscape_aphids.jsonl,,2026-02-24
https://ipm.ucanr.edu/home-and-landscape/whiteflies/,https://ipm.ucanr.edu/home-and-landscape/whiteflies/,200,pests,A,Whiteflies / Home and Landscape / UC Statewide IPM Program (UC IPM),2925,20,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/raw_html/ipm_ucanr_edu__home-and-landscape_whiteflies.html,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/parsed_txt/ipm_ucanr_edu__home-and-landscape_whiteflies.txt,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/chunks_jsonl/ipm_ucanr_edu__home-and-landscape_whiteflies.jsonl,,2026-02-24
https://ipm.ucanr.edu/home-and-landscape/mealybugs/,https://ipm.ucanr.edu/home-and-landscape/mealybugs/,200,pests,A,Mealybugs / Home and Landscape / UC Statewide IPM Program (UC IPM),2907,19,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/raw_html/ipm_ucanr_edu__home-and-landscape_mealybugs.html,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/parsed_txt/ipm_ucanr_edu__home-and-landscape_mealybugs.txt,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/chunks_jsonl/ipm_ucanr_edu__home-and-landscape_mealybugs.jsonl,,2026-02-24
https://ipm.ucanr.edu/home-and-landscape/spider-mites/,https://ipm.ucanr.edu/home-and-landscape/spider-mites/,200,pests,A,Spider Mites / Home and Landscape / UC Statewide IPM Program (UC IPM),2435,15,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/raw_html/ipm_ucanr_edu__home-and-landscape_spider-mites.html,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/parsed_txt/ipm_ucanr_edu__home-and-landscape_spider-mites.txt,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/chunks_jsonl/ipm_ucanr_edu__home-and-landscape_spider-mites.jsonl,,2026-02-24
https://ipm.ucanr.edu/home-and-landscape/thrips/,https://ipm.ucanr.edu/home-and-landscape/thrips/,200,pests,A,Thrips / Home and Landscape / UC Statewide IPM Program (UC IPM),5056,35,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/raw_html/ipm_ucanr_edu__home-and-landscape_thrips.html,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/parsed_txt/ipm_ucanr_edu__home-and-landscape_thrips.txt,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/chunks_jsonl/ipm_ucanr_edu__home-and-landscape_thrips.jsonl,,2026-02-24
https://ipm.ucanr.edu/home-and-landscape/scales/,https://ipm.ucanr.edu/home-and-landscape/scales/,200,pests,A,Scales / Home and Landscape / UC Statewide IPM Program (UC IPM),5502,36,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/raw_html/ipm_ucanr_edu__home-and-landscape_scales.html,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/parsed_txt/ipm_ucanr_edu__home-and-landscape_scales.txt,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/chunks_jsonl/ipm_ucanr_edu__home-and-landscape_scales.jsonl,,2026-02-24
https://ipm.ucanr.edu/home-and-landscape/fungus-gnats/,https://ipm.ucanr.edu/home-and-landscape/fungus-gnats/,200,pests,A,Fungus Gnats / Home and Landscape / UC Statewide IPM Program (UC IPM),2371,16,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/raw_html/ipm_ucanr_edu__home-and-landscape_fungus-gnats.html,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/parsed_txt/ipm_ucanr_edu__home-and-landscape_fungus-gnats.txt,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/chunks_jsonl/ipm_ucanr_edu__home-and-landscape_fungus-gnats.jsonl,,2026-02-24
https://extension.psu.edu/pest-and-disease-problems-of-indoor-plants,https://extension.psu.edu/pest-and-disease-problems-of-indoor-plants,200,symptom_diagnosis,A,Pest and Disease Problems of Indoor Plants,873,6,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/raw_html/extension_psu_edu__pest-and-disease-problems-of-indoor-plants.html,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/parsed_txt/extension_psu_edu__pest-and-disease-problems-of-indoor-plants.txt,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/chunks_jsonl/extension_psu_edu__pest-and-disease-problems-of-indoor-plants.jsonl,,2026-02-24
https://extension.psu.edu/preventing-diagnosing-and-correcting-common-houseplant-problems,https://extension.psu.edu/preventing-diagnosing-and-correcting-common-houseplant-problems,200,symptom_diagnosis,A,"Preventing, Diagnosing, and Correcting Common Houseplant Problems",1224,7,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/raw_html/extension_psu_edu__preventing-diagnosing-and-correcting-common-houseplant-problems.html,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/parsed_txt/extension_psu_edu__preventing-diagnosing-and-correcting-common-houseplant-problems.txt,/opt/agronom-bot/load/rag_houseplants_seed_2026_02_24/chunks_jsonl/extension_psu_edu__preventing-diagnosing-and-correcting-common-houseplant-problems.jsonl,,2026-02-24
